ROE_index,ROE,date,Символ,B/S,Валюта,Price,Volume,Comisson,Sum
2021-08-06_HKD,9.4085,,,,,,,,
2021-08-09_HKD,9.40439,,,,,,,,
2021-08-09_USD,73.1304,,,,,,,,
2021-08-10_USD,73.5078,,,,,,,,
2021-08-12_HKD,9.50582,,,,,,,,
2021-08-13_HKD,9.45447,,,,,,,,
2021-08-13_USD,73.5671,,,,,,,,
2021-08-17_HKD,9.42869,,,,,,,,
2021-08-18_USD,73.4753,,,,,,,,
2020-02-05_USD,63.4342,,,,,,,,
2020-02-06_USD,63.1742,,,,,,,,
2020-02-07_USD,62.7977,,,,,,,,
2020-02-10_USD,63.472,,,,,,,,
2020-02-12_USD,63.949,,,,,,,,
2020-02-13_USD,63.047,,,,,,,,
2020-02-14_USD,63.6016,,,,,,,,
2020-02-18_USD,63.3085,,,,,,,,
2020-02-19_USD,63.7698,,,,,,,,
2020-02-20_USD,63.6873,,,,,,,,
2020-02-21_EUR,68.7705,,,,,,,,
2020-02-21_USD,63.7413,,,,,,,,
2020-02-24_USD,64.3008,,,,,,,,
2020-02-24_EUR,69.4191,,,,,,,,
2020-02-25_USD,64.3008,,,,,,,,
2020-02-26_USD,64.9213,,,,,,,,
2020-03-02_USD,66.9909,,,,,,,,
2020-03-17_USD,74.1262,,,,,,,,
2020-03-18_USD,73.8896,,,,,,,,
2020-03-19_USD,77.2131,,,,,,,,
2020-03-23_USD,78.0443,,,,,,,,
2020-03-24_USD,80.8815,,,,,,,,
2020-03-25_USD,78.8493,,,,,,,,
2020-03-26_USD,77.7928,,,,,,,,
2020-03-27_USD,78.7223,,,,,,,,
2020-03-30_USD,77.7325,,,,,,,,
2020-03-31_USD,77.7325,,,,,,,,
2020-04-02_USD,77.7325,,,,,,,,
2020-04-06_USD,77.7325,,,,,,,,
2020-04-13_USD,73.7515,,,,,,,,
2020-04-14_USD,73.5245,,,,,,,,
2020-04-16_USD,73.7145,,,,,,,,
2020-04-17_USD,74.7119,,,,,,,,
2020-04-23_USD,77.0416,,,,,,,,
2020-04-24_USD,75.129,,,,,,,,
2020-04-27_USD,74.7163,,,,,,,,
2020-04-28_USD,74.496,,,,,,,,
2020-04-29_USD,74.5706,,,,,,,,
2020-04-30_USD,73.6894,,,,,,,,
2020-05-01_USD,72.7263,,,,,,,,
2020-05-04_USD,72.7263,,,,,,,,
2020-05-05_USD,72.7263,,,,,,,,
2020-05-07_USD,73.9719,,,,,,,,
2020-05-13_USD,73.4326,,,,,,,,
2020-05-15_USD,73.9298,,,,,,,,
2020-05-19_USD,72.9798,,,,,,,,
2020-05-22_USD,70.924,,,,,,,,
2020-05-28_USD,71.0635,,,,,,,,
2020-06-08_USD,68.6319,,,,,,,,
2020-06-09_USD,68.3123,,,,,,,,
2020-06-17_USD,69.7524,,,,,,,,
2020-06-19_USD,69.618,,,,,,,,
2020-06-26_USD,69.466,,,,,,,,
2020-06-30_USD,69.9513,,,,,,,,
2020-07-01_USD,70.4413,,,,,,,,
2020-07-17_USD,71.231,,,,,,,,
2020-07-23_USD,70.7881,,,,,,,,
2020-08-11_USD,73.775,,,,,,,,
2020-08-19_USD,73.4321,,,,,,,,
2020-08-25_USD,74.4184,,,,,,,,
2020-08-27_USD,75.5379,,,,,,,,
2020-09-01_USD,73.8039,,,,,,,,
2020-09-18_USD,75.1941,,,,,,,,
2020-10-12_USD,77.0284,,,,,,,,
2020-10-13_USD,77.0239,,,,,,,,
2020-11-03_USD,80.5749,,,,,,,,
2020-11-09_USD,77.1875,,,,,,,,
2020-11-13_USD,77.1148,,,,,,,,
2020-11-17_USD,76.9197,,,,,,,,
2020-11-23_USD,76.012,,,,,,,,
2020-12-03_USD,75.6151,,,,,,,,
2020-12-09_USD,73.6618,,,,,,,,
2020-12-14_USD,73.1195,,,,,,,,
2020-12-18_USD,72.9781,,,,,,,,
